"","Component","MS_A_POS.mzML","MS_B_POS.mzML","MS_C_POS.mzML","MS_D_POS.mzML","MS_E_POS.mzML","MS_F_POS.mzML","MS_QC_POOL_1_POS.mzML","MS_QC_POOL_2_POS.mzML","MS_QC_POOL_3_POS.mzML","MS_QC_POOL_4_POS.mzML"
"1","14",0.948709686037509,0.948109098047944,0.75336622127054,0.852850982254191,0.984899848431818,0.97517896453785,0.96418745568545,0.981939899684961,0.974971068723697,0.957462997186097
"2","15",0.951781922318651,0.935614064078083,0.866995471952357,0.959923645356232,0.906399493224766,0.763724716186801,0.956608038209497,0.941905524386918,0.948207113135667,0.944076344739729
"3","17",0.982542857276134,0.922102447522646,0.99588550147146,0.993910830979511,0.993626233558803,0.993990355061479,0.980144391119161,0.982288803967511,0.955178932432719,0.985426297187501
"4","21",NA,0.988428155997112,0.952678674868973,0.925388249578244,0.986943134911522,NA,0.94009714900969,0.904406266526444,0.951091927874805,0.980356811482175
"5","22",0.994617178387529,0.991706449354167,0.992607428157184,0.994733030468151,0.990676236769602,0.973757293113595,0.982306586709401,0.998642802443341,0.992983075443983,0.981102016471805
"6","23",0.925386633350403,-0.117635457968348,0.907439863778166,NA,0.625769604469412,NA,0.956116488334104,0.994741592775744,0.979110567750823,0.929070181836411
"7","24",0.976811040214879,0.96279222522089,0.975897108978543,0.975934743137264,0.942531480572207,0.997637882788365,0.310572486358506,0.890535249691287,0.9670366850647,0.959583189827298
"8","25",0.925386087826275,0.965483297198558,0.979690046409082,0.939809636087888,0.965502737302741,NA,0.981933140205261,0.889311870415894,0.978969480436288,0.882240466650122
"9","26",0.925388249578244,0.957889082820154,0.925388249578244,0.925388249578244,0.467603561774335,0.976896143816612,0.991772434415958,0.925388249578244,0.925388249578245,0.925388249578245
"10","7",0.945100285735775,0.932737582218772,0.972090916500527,0.963500814618448,0.963059327745543,0.974699062584097,0.962558023158283,0.986170239809194,0.95081750871201,0.939547690019302
"11","8",0.884575933310242,0.890800042693451,0.903157879126678,0.884348154744085,0.872124497711402,0.906745224044032,0.853077185529881,0.852649769418494,0.860613765466978,0.832450953948324
